Date,Veda,TSM,Cla,Camaron
2003-01-01,0,21.69274167,0.546022841,9789
2003-02-01,0,20.80145412,0.47822196,22239
2003-03-01,0,19.26932181,1.547696518,17054
2003-04-01,1,19.2220033,1.513028351,0
2003-05-01,1,19.41948463,2.679010189,0
2003-06-01,1,19.5818601,3.079562652,0
2003-07-01,1,23.17298585,2.291483964,0
2003-08-01,1,25.60154679,1.171007651,0
2003-09-01,0,26.90862684,1.090398182,80797
2003-10-01,0,26.61795062,0.754990195,25870
2003-11-01,0,24.57612496,0.608370582,13720
2003-12-01,0,23.06332665,0.7688921,56561
2004-01-01,0,20.94644003,0.707643131,67293
2004-02-01,0,19.46415879,1.316350967,41634
2004-03-01,0,18.91617749,2.425529519,24239
2004-04-01,1,18.58221582,3.163120832,0
2004-05-01,1,19.58117513,2.815703298,0
2004-06-01,1,20.32710243,3.555539881,0
2004-07-01,1,24.06289271,1.955028454,0
2004-08-01,0,26.34968886,1.298251347,72375
2004-09-01,0,27.62763997,0.929341592,200272
2004-10-01,0,24.87281429,0.675135091,52804
2004-11-01,0,23.53134961,0.534873524,31332
2004-12-01,0,22.56359022,0.533311342,29915
2005-01-01,0,21.22883653,0.684087486,57552
2005-02-01,0,20.23047936,0.628167113,74462
2005-03-01,0,19.08405666,1.768844281,61840
2005-04-01,1,19.05117027,1.689572044,0
2005-05-01,1,18.7302216,2.188747766,0
2005-06-01,1,19.53451875,1.803821681,0
2005-07-01,1,22.49859532,2.552759367,0
2005-08-01,1,25.09945808,0.86943169,0
2005-09-01,0,27.07131766,0.563430833,365680
2005-10-01,0,24.19892359,0.608354094,90981
2005-11-01,0,23.23717053,0.621579995,57862
2005-12-01,0,22.12452828,0.576044196,42670
2006-01-01,0,20.23975099,0.684087486,52853
2006-02-01,0,19.06186389,0.628167113,33024
2006-03-01,0,17.77747075,1.768844281,57311
2006-04-01,1,17.47478429,1.689572044,0
2006-05-01,1,16.96766606,2.188747766,0
2006-06-01,1,18.87601213,1.803821681,0
2006-07-01,1,23.36366406,2.552759367,0
2006-08-01,0,26.10876107,0.86943169,260
2006-09-01,0,27.95827504,0.563430833,196530
2006-10-01,0,27.75242449,0.608354094,101122
2006-11-01,0,26.69297808,0.621579995,95170
2006-12-01,0,24.60047269,0.576044196,170118
2007-01-01,0,22.05502952,0.6211,139697
2007-02-01,0,20.68631354,1.1514,112327
2007-03-01,0,19.91000391,2.3569,128501
2007-04-01,1,18.91290571,3.3949,0
2007-05-01,1,17.81892065,3.1584,0
2007-06-01,1,19.25284017,4.4009,0
2007-07-01,1,22.50242371,2.5918,0
2007-08-01,1,24.15597732,1.1752,0
2007-09-01,0,25.14869726,0.8155,119934
2007-10-01,0,25.2020783,0.631,79395
2007-11-01,0,23.92296901,0.5309,22847
2007-12-01,0,21.56780266,0.4639,58084
2008-01-01,0,20.22616543,0.6954,57077
2008-02-01,0,18.70584363,0.6161,35558
2008-03-01,0,18.39665816,1.9378,13796
2008-04-01,1,18.0695621,1.8333,0
2008-05-01,1,18.27816993,2.6043,0
2008-06-01,1,18.97166288,2.0769,0
2008-07-01,1,24.13134428,2.8267,0
2008-08-01,1,26.70024945,0.9717,0
2008-09-01,0,27.96365198,0.6002,90331
2008-10-01,0,28.27104865,0.6545,42269
2008-11-01,0,25.92086223,0.6388,83602
2008-12-01,0,23.27169842,0.587,130455
2009-01-01,0,21.58049712,0.8371,110735
2009-02-01,0,21.11202068,1.2467,57335
2009-03-01,0,20.49384627,2.1747,43564
2009-04-01,1,19.0810205,2.3978,0
2009-05-01,1,18.71836177,3.7345,0
2009-06-01,1,18.54988095,4.7232,0
2009-07-01,1,23.2368476,3.2629,0
2009-08-01,1,27.36249388,1.4541,0
2009-09-01,0,28.3268392,0.8107,83166
2009-10-01,0,27.30607546,0.5334,70595
2009-11-01,0,25.04140476,0.5867,29672
2009-12-01,0,23.40388224,0.567,49425
2010-01-01,0,22.85391476,0.7916,106088
2010-02-01,0,21.35873893,1.1428,85597
2010-03-01,0,20.4833245,1.2983,74426
2010-04-01,1,20.21686456,2.6139,0
2010-05-01,1,18.89683914,2.4688,0
2010-06-01,1,19.06351625,2.943,0
2010-07-01,1,20.32963068,2.1056,0
2010-08-01,1,23.69299402,1.5439,0
2010-09-01,0,25.04263557,0.8283,141043
2010-10-01,0,23.32047171,0.7911,75276
2010-11-01,0,22.10027766,0.6728,67269
2010-12-01,0,21.07564263,0.899,51642
2011-01-01,0,18.86764965,0.9573,66159
2011-02-01,0,18.16044964,2.1572,54352
2011-03-01,0,17.99747029,2.1864,50592
2011-04-01,1,17.71153031,3.6837,0
2011-05-01,1,18.05689037,4.3722,0
2011-06-01,1,18.73675541,5.6625,0
2011-07-01,1,22.79139166,5.6625,0
2011-08-01,1,25.17876701,3.9885,0
2011-09-01,0,25.96671704,1.0533,186635
2011-10-01,0,25.41456458,0.986,102182
2011-11-01,0,24.32416656,0.844,130396
2011-12-01,0,21.96963331,0.9532,151191
2012-01-01,0,20.50288569,0.9245,90707
2012-02-01,0,18.96981919,0.8441,70637
2012-03-01,0,18.65984565,1.0992,40918
2012-04-01,1,18.08678375,2.4942,0
2012-05-01,1,18.17501877,4.0562,0
2012-06-01,1,19.08338674,3.1699,0
2012-07-01,1,23.58819338,2.196,0
2012-08-01,0,26.98578225,1.0185,2362
2012-09-01,0,28.46003286,0.9813,87797
2012-10-01,0,27.1893777,0.4929,73844
2012-11-01,0,25.69893791,0.5306,131238
2012-12-01,0,23.68359887,0.4496,94259
2013-01-01,0,20.96324853,0.3628,97838
2013-02-01,0,19.51463793,0.5041,48601
2013-03-01,0,19.02755693,1.0778,40297
2013-04-01,1,18.94191317,0.5817,0
2013-05-01,1,18.75783864,1.7692,0
2013-06-01,1,19.84418682,1.708,0
2013-07-01,1,22.97287394,1.5833,0
2013-08-01,1,24.99233526,1.2762,0
2013-09-01,0,26.16035112,0.7372,42537.5
2013-10-01,0,26.11316852,0.7202,60320.5
2013-11-01,0,25.31434619,0.6492,29339
2013-12-01,0,25.31434619,0.7366,28262
